"Date","peak2z_length","gauge_ID"
1988-12-26,3,"G9070142"
1989-01-10,5,"G9070142"
1989-01-15,3,"G9070142"
1989-01-30,5,"G9070142"
1989-02-06,3,"G9070142"
1989-02-13,4,"G9070142"
1989-04-08,11,"G9070142"
1989-12-20,3,"G9070142"
1990-01-20,3,"G9070142"
1990-02-06,4,"G9070142"
1990-03-12,7,"G9070142"
1990-05-28,5,"G9070142"
1990-12-15,5,"G9070142"
1991-05-17,37,"G9070142"
1991-12-04,4,"G9070142"
1992-01-09,5,"G9070142"
1992-02-22,6,"G9070142"
1992-03-11,8,"G9070142"
1992-10-25,6,"G9070142"
1992-12-02,4,"G9070142"
1992-12-17,4,"G9070142"
1992-12-31,6,"G9070142"
1993-01-13,7,"G9070142"
1993-10-07,145,"G9070142"
1994-01-25,10,"G9070142"
1994-02-07,6,"G9070142"
1994-06-13,97,"G9070142"
1994-12-19,3,"G9070142"
1995-01-02,7,"G9070142"
1995-06-03,75,"G9070142"
1996-01-10,7,"G9070142"
1996-02-19,8,"G9070142"
1996-06-15,34,"G9070142"
1996-10-25,4,"G9070142"
1996-12-27,7,"G9070142"
1997-04-10,30,"G9070142"
1998-02-18,4,"G9070142"
1998-04-12,32,"G9070142"
1998-12-06,6,"G9070142"
1999-05-23,45,"G9070142"
1999-11-16,5,"G9070142"
1999-12-08,8,"G9070142"
2000-01-21,12,"G9070142"
2000-07-31,84,"G9070142"
2002-08-03,137,"G9070142"
2002-09-13,14,"G9070142"
2005-08-14,146,"G9070142"
2007-11-02,75,"G9070142"
2008-07-31,135,"G9070142"
2008-11-17,13,"G9070142"
2008-12-05,8,"G9070142"
2013-09-01,153,"G9070142"
2013-12-14,6,"G9070142"
2014-01-11,5,"G9070142"
1966-12-30,15,"A0020101"
1967-05-24,50,"A0020101"
1967-09-10,62,"A0020101"
1968-09-21,22,"A0020101"
1969-06-16,52,"A0020101"
1970-06-09,35,"A0020101"
1971-09-16,60,"A0020101"
1971-12-21,38,"A0020101"
1972-07-07,32,"A0020101"
1973-08-13,21,"A0020101"
1973-09-27,29,"A0020101"
1974-10-15,44,"A0020101"
1975-06-16,24,"A0020101"
1975-09-18,16,"A0020101"
1975-12-07,26,"A0020101"
1976-07-10,108,"A0020101"
1976-11-05,12,"A0020101"
1977-06-25,26,"A0020101"
1978-02-03,7,"A0020101"
1978-03-20,29,"A0020101"
1978-10-27,76,"A0020101"
1978-12-17,26,"A0020101"
1979-07-13,50,"A0020101"
1979-10-14,11,"A0020101"
1980-05-19,24,"A0020101"
1981-10-07,50,"A0020101"
1982-05-20,43,"A0020101"
1983-09-15,93,"A0020101"
1983-11-08,7,"A0020101"
1984-06-09,78,"A0020101"
1985-03-21,41,"A0020101"
1986-02-09,19,"A0020101"
1986-04-21,40,"A0020101"
1986-10-10,59,"A0020101"
1986-11-30,19,"A0020101"
1987-09-13,66,"A0020101"
1988-02-22,30,"A0020101"
1988-11-15,67,"A0020101"
1989-10-01,115,"A0020101"
1989-11-06,10,"A0020101"
1990-10-09,101,"A0020101"
1991-07-20,144,"A0020101"
1991-12-25,9,"A0020101"
1992-08-09,58,"A0020101"
1992-12-31,10,"A0020101"
1993-05-31,64,"A0020101"
1993-10-24,19,"A0020101"
1993-12-04,16,"A0020101"
1994-07-14,120,"A0020101"
1995-10-28,133,"A0020101"
1997-08-22,42,"A0020101"
1997-12-27,11,"A0020101"
1998-11-05,39,"A0020101"
1999-08-05,97,"A0020101"
2000-09-27,186,"A0020101"
2001-05-13,46,"A0020101"
2001-07-06,25,"A0020101"
2002-04-23,34,"A0020101"
2003-09-23,21,"A0020101"
2003-10-30,21,"A0020101"
2003-12-15,12,"A0020101"
2004-05-11,96,"A0020101"
2004-07-24,46,"A0020101"
2005-04-29,43,"A0020101"
2005-09-27,24,"A0020101"
2006-09-14,46,"A0020101"
2007-06-16,80,"A0020101"
2007-09-08,54,"A0020101"
2008-04-30,48,"A0020101"
2008-07-31,51,"A0020101"
2009-07-26,50,"A0020101"
2012-09-08,39,"A0020101"
2013-04-29,37,"A0020101"
2014-01-20,28,"A0020101"
2014-06-01,48,"A0020101"
1973-10-01,33,"A0030501"
1974-09-26,101,"A0030501"
1975-01-29,16,"A0030501"
1975-08-03,88,"A0030501"
1976-09-07,52,"A0030501"
1977-09-21,88,"A0030501"
1978-04-16,42,"A0030501"
1979-01-13,36,"A0030501"
1979-08-23,56,"A0030501"
1980-07-04,64,"A0030501"
1981-11-09,60,"A0030501"
1982-06-29,65,"A0030501"
1983-10-27,79,"A0030501"
1984-11-13,28,"A0030501"
1985-03-13,23,"A0030501"
1986-03-01,95,"A0030501"
1986-05-26,58,"A0030501"
1986-11-09,30,"A0030501"
1986-11-29,16,"A0030501"
1986-12-23,16,"A0030501"
1987-10-18,71,"A0030501"
1987-12-21,18,"A0030501"
1988-03-06,37,"A0030501"
1988-11-16,39,"A0030501"
1989-01-19,23,"A0030501"
1989-11-05,148,"A0030501"
1990-03-10,41,"A0030501"
1990-11-19,30,"A0030501"
1991-08-31,149,"A0030501"
1992-06-24,78,"A0030501"
1993-05-22,53,"A0030501"
1993-11-09,29,"A0030501"
1994-07-21,67,"A0030501"
1995-09-08,80,"A0030501"
1995-12-25,20,"A0030501"
1997-09-22,146,"A0030501"
1998-01-05,19,"A0030501"
1999-09-06,59,"A0030501"
2000-10-02,57,"A0030501"
2001-05-15,58,"A0030501"
2001-07-30,40,"A0030501"
2002-05-27,56,"A0030501"
2003-10-02,25,"A0030501"
2004-08-02,57,"A0030501"
2005-05-05,44,"A0030501"
2005-10-23,36,"A0030501"
2006-10-09,53,"A0030501"
2007-01-14,19,"A0030501"
2007-07-11,53,"A0030501"
2007-10-02,51,"A0030501"
2008-09-12,71,"A0030501"
2008-12-26,25,"A0030501"
2009-08-27,55,"A0030501"
2010-01-23,20,"A0030501"
2011-09-15,132,"A0030501"
2012-10-12,57,"A0030501"
2013-06-28,67,"A0030501"
2014-06-18,36,"A0030501"
1965-12-14,7,"G0010005"
1966-01-08,2,"G0010005"
1966-02-15,15,"G0010005"
1967-04-08,34,"G0010005"
1968-02-03,5,"G0010005"
1968-02-13,1,"G0010005"
1968-03-25,20,"G0010005"
1968-06-05,14,"G0010005"
1969-01-05,2,"G0010005"
1969-02-20,6,"G0010005"
1969-04-01,4,"G0010005"
1970-02-21,10,"G0010005"
1971-04-27,10,"G0010005"
1971-12-18,5,"G0010005"
1972-01-06,17,"G0010005"
1972-03-17,7,"G0010005"
1972-03-20,1,"G0010005"
1973-05-12,32,"G0010005"
1974-04-25,35,"G0010005"
1975-01-31,18,"G0010005"
1975-05-01,40,"G0010005"
1976-04-18,25,"G0010005"
1977-04-06,5,"G0010005"
1978-02-01,8,"G0010005"
1979-02-19,12,"G0010005"
1979-04-27,32,"G0010005"
