"Date","peak2z_length","gauge_ID"
1990-09-07,82,"X926002A"
1977-01-23,1,"G9030124"
1977-01-26,2,"G9030124"
1977-01-30,2,"G9030124"
1977-04-01,11,"G9030124"
1977-12-29,6,"G9030124"
1978-01-19,8,"G9030124"
1978-01-24,2,"G9030124"
1978-03-07,11,"G9030124"
1979-02-02,3,"G9030124"
1979-02-27,6,"G9030124"
1979-03-18,10,"G9030124"
1980-02-23,7,"G9030124"
1980-03-24,2,"G9030124"
1981-03-02,8,"G9030124"
1981-03-06,1,"G9030124"
1981-03-10,3,"G9030124"
1982-02-04,6,"G9030124"
1982-03-20,8,"G9030124"
1982-04-10,16,"G9030124"
1983-03-09,1,"G9030124"
1983-04-12,6,"G9030124"
1984-01-22,1,"G9030124"
1984-02-04,7,"G9030124"
1984-03-10,2,"G9030124"
1984-03-29,6,"G9030124"
1984-04-03,2,"G9030124"
1985-04-07,6,"G9030124"
1986-02-03,5,"G9030124"
1987-02-13,6,"G9030124"
1987-03-08,9,"G9030124"
1987-12-23,1,"G9030124"
1988-02-13,1,"G9030124"
1988-02-19,3,"G9030124"
1989-01-07,8,"G9030124"
1989-04-03,3,"G9030124"
1991-01-18,7,"G9030124"
1991-03-12,16,"G9030124"
1992-03-05,8,"G9030124"
1993-03-09,8,"G9030124"
1993-12-21,1,"G9030124"
1993-12-23,1,"G9030124"
1993-12-27,1,"G9030124"
1994-01-03,5,"G9030124"
1994-03-13,4,"G9030124"
1995-03-25,5,"G9030124"
1996-02-11,4,"G9030124"
1996-03-19,10,"G9030124"
1996-03-23,2,"G9030124"
1997-02-06,10,"G9030124"
1997-03-08,3,"G9030124"
1997-12-25,1,"G9030124"
1998-02-02,3,"G9030124"
1998-02-04,1,"G9030124"
1998-02-25,2,"G9030124"
1999-01-03,3,"G9030124"
1999-01-07,2,"G9030124"
1999-01-22,4,"G9030124"
1999-01-25,1,"G9030124"
1999-02-26,7,"G9030124"
1999-03-06,3,"G9030124"
1999-03-09,1,"G9030124"
1999-03-28,1,"G9030124"
1999-12-28,1,"G9030124"
2000-01-17,1,"G9030124"
2000-01-25,1,"G9030124"
2000-03-31,1,"G9030124"
2000-12-17,6,"G9030124"
2000-12-24,1,"G9030124"
2001-01-04,1,"G9030124"
2001-01-14,5,"G9030124"
2001-01-24,1,"G9030124"
2001-02-10,6,"G9030124"
2001-04-04,10,"G9030124"
2002-03-07,3,"G9030124"
2003-04-19,42,"G9030124"
2004-01-26,2,"G9030124"
2004-04-21,35,"G9030124"
2005-03-25,3,"G9030124"
2005-11-28,6,"G9030124"
2005-12-09,7,"G9030124"
2005-12-14,1,"G9030124"
2006-02-17,5,"G9030124"
2006-03-17,2,"G9030124"
2006-04-18,10,"G9030124"
2006-05-10,11,"G9030124"
2007-02-06,6,"G9030124"
2007-03-30,5,"G9030124"
2008-01-10,7,"G9030124"
2008-03-09,8,"G9030124"
2008-12-23,2,"G9030124"
2009-02-23,10,"G9030124"
2009-02-26,1,"G9030124"
2009-03-03,1,"G9030124"
2010-01-18,5,"G9030124"
2010-02-21,3,"G9030124"
2010-02-24,2,"G9030124"
2010-03-09,9,"G9030124"
2011-01-30,7,"G9030124"
2011-04-24,17,"G9030124"
2011-12-02,7,"G9030124"
2011-12-24,6,"G9030124"
2012-01-13,12,"G9030124"
2012-02-04,4,"G9030124"
2012-03-06,2,"G9030124"
2012-03-13,5,"G9030124"
2012-03-29,1,"G9030124"
2013-02-24,7,"G9030124"
2013-04-11,3,"G9030124"
1967-11-27,104,"G9030250"
1967-12-27,24,"G9030250"
1970-09-27,205,"G9030250"
1973-10-14,116,"G9030250"
1965-12-05,2,"G9070142"
1965-12-18,1,"G9070142"
1965-12-22,2,"G9070142"
1966-01-01,2,"G9070142"
1966-03-04,16,"G9070142"
1966-03-14,7,"G9070142"
1966-03-21,3,"G9070142"
1966-03-26,3,"G9070142"
1966-11-10,2,"G9070142"
1966-11-15,3,"G9070142"
1966-11-20,2,"G9070142"
1966-12-11,3,"G9070142"
1966-12-18,3,"G9070142"
1967-01-27,4,"G9070142"
1967-06-25,102,"G9070142"
1967-12-07,3,"G9070142"
1968-01-08,3,"G9070142"
1968-08-04,73,"G9070142"
1968-12-29,3,"G9070142"
1969-01-09,3,"G9070142"
1969-01-29,5,"G9070142"
1969-04-08,12,"G9070142"
1969-07-16,12,"G9070142"
1970-01-03,5,"G9070142"
1970-01-19,5,"G9070142"
1970-03-18,16,"G9070142"
1970-05-28,14,"G9070142"
1970-11-23,9,"G9070142"
1971-01-01,8,"G9070142"
1971-01-23,5,"G9070142"
1971-02-21,10,"G9070142"
1971-12-10,7,"G9070142"
1971-12-23,7,"G9070142"
1972-11-26,252,"G9070142"
1972-12-03,5,"G9070142"
1972-12-08,3,"G9070142"
1973-01-13,3,"G9070142"
1973-02-13,13,"G9070142"
1973-04-17,7,"G9070142"
1973-06-30,12,"G9070142"
1973-11-21,4,"G9070142"
1973-12-02,5,"G9070142"
1979-10-10,31,"G9070142"
1979-12-25,3,"G9070142"
1980-01-12,2,"G9070142"
1980-01-18,5,"G9070142"
1980-05-11,50,"G9070142"
1980-12-14,3,"G9070142"
1981-01-10,2,"G9070142"
1981-10-09,28,"G9070142"
1981-12-07,6,"G9070142"
1981-12-19,2,"G9070142"
1982-01-03,2,"G9070142"
1982-01-16,6,"G9070142"
1982-07-31,63,"G9070142"
1982-10-02,22,"G9070142"
1982-12-20,3,"G9070142"
1982-12-31,5,"G9070142"
1983-01-07,4,"G9070142"
1983-02-11,3,"G9070142"
1983-03-07,1,"G9070142"
1983-05-06,13,"G9070142"
1983-12-10,2,"G9070142"
1983-12-25,2,"G9070142"
1984-01-02,1,"G9070142"
1984-11-19,7,"G9070142"
1985-01-08,18,"G9070142"
1985-07-30,63,"G9070142"
1985-12-05,8,"G9070142"
1985-12-20,9,"G9070142"
1986-01-16,6,"G9070142"
1986-02-10,15,"G9070142"
1986-03-08,3,"G9070142"
1986-04-03,4,"G9070142"
1986-07-09,5,"G9070142"
1986-10-27,2,"G9070142"
1986-11-02,4,"G9070142"
1986-12-13,4,"G9070142"
1987-01-08,5,"G9070142"
1987-06-02,49,"G9070142"
1987-11-06,5,"G9070142"
1987-11-25,2,"G9070142"
1987-12-07,5,"G9070142"
1988-01-12,5,"G9070142"
1988-02-18,4,"G9070142"
1988-12-17,2,"G9070142"
1988-12-25,2,"G9070142"
1989-01-09,4,"G9070142"
1989-01-13,1,"G9070142"
1989-01-29,4,"G9070142"
1989-02-05,2,"G9070142"
1989-02-11,2,"G9070142"
1989-04-05,8,"G9070142"
1989-12-14,2,"G9070142"
1989-12-19,2,"G9070142"
1990-01-19,2,"G9070142"
1990-01-31,2,"G9070142"
1990-02-05,3,"G9070142"
1990-03-09,4,"G9070142"
1990-05-27,4,"G9070142"
1990-12-14,4,"G9070142"
1991-01-16,5,"G9070142"
1991-03-25,31,"G9070142"
1991-04-09,9,"G9070142"
1991-04-17,7,"G9070142"
1991-12-04,4,"G9070142"
1992-01-07,3,"G9070142"
1992-02-14,6,"G9070142"
1992-02-20,4,"G9070142"
1992-03-08,5,"G9070142"
1992-10-23,4,"G9070142"
1992-11-30,2,"G9070142"
1992-12-12,4,"G9070142"
1992-12-16,3,"G9070142"
1992-12-30,5,"G9070142"
1993-01-12,6,"G9070142"
1993-01-26,5,"G9070142"
1993-09-28,136,"G9070142"
1993-12-21,2,"G9070142"
1994-01-03,7,"G9070142"
1994-01-12,3,"G9070142"
1994-01-20,5,"G9070142"
1994-02-05,4,"G9070142"
1994-05-12,65,"G9070142"
1994-12-18,2,"G9070142"
1994-12-31,5,"G9070142"
1995-01-10,4,"G9070142"
1995-04-13,24,"G9070142"
1996-01-09,6,"G9070142"
1996-02-06,7,"G9070142"
1996-02-17,6,"G9070142"
1996-06-04,23,"G9070142"
1996-10-24,3,"G9070142"
1996-12-25,5,"G9070142"
1997-01-12,5,"G9070142"
1997-04-06,26,"G9070142"
1998-02-17,3,"G9070142"
1998-04-09,29,"G9070142"
1998-12-06,6,"G9070142"
1998-12-28,6,"G9070142"
1999-05-12,34,"G9070142"
1999-11-15,4,"G9070142"
1999-11-28,6,"G9070142"
1999-12-06,6,"G9070142"
2000-01-21,12,"G9070142"
2000-07-26,79,"G9070142"
2002-07-27,130,"G9070142"
2002-09-13,14,"G9070142"
2005-06-25,96,"G9070142"
2005-12-05,10,"G9070142"
2007-10-20,62,"G9070142"
2008-07-06,110,"G9070142"
2008-11-17,13,"G9070142"
2008-12-03,6,"G9070142"
2009-12-07,101,"G9070142"
2013-08-19,140,"G9070142"
2013-12-12,4,"G9070142"
2014-01-09,3,"G9070142"
1966-11-27,12,"A0020101"
1966-12-22,7,"A0020101"
1967-05-16,42,"A0020101"
1967-09-03,55,"A0020101"
1968-09-20,21,"A0020101"
1969-05-29,34,"A0020101"
1970-05-30,25,"A0020101"
1971-09-11,55,"A0020101"
1971-12-12,29,"A0020101"
1972-06-01,52,"A0020101"
1972-06-30,25,"A0020101"
1973-08-07,15,"A0020101"
1973-08-27,8,"A0020101"
1973-09-20,22,"A0020101"
1974-10-04,33,"A0020101"
1975-06-10,18,"A0020101"
1975-09-14,12,"A0020101"
1975-12-04,23,"A0020101"
1976-06-19,87,"A0020101"
1976-11-02,9,"A0020101"
1977-06-19,20,"A0020101"
1978-01-31,4,"A0020101"
1978-03-17,26,"A0020101"
1978-10-23,72,"A0020101"
1978-12-14,23,"A0020101"
1979-07-04,41,"A0020101"
1979-10-10,7,"A0020101"
1980-05-13,18,"A0020101"
1981-10-02,45,"A0020101"
1982-05-12,35,"A0020101"
1983-09-08,86,"A0020101"
1983-11-06,5,"A0020101"
1984-05-29,67,"A0020101"
1985-03-07,27,"A0020101"
1986-02-06,16,"A0020101"
1986-04-15,34,"A0020101"
1986-10-02,51,"A0020101"
1986-11-26,15,"A0020101"
1987-09-07,60,"A0020101"
1987-12-08,5,"A0020101"
1988-02-20,28,"A0020101"
1988-11-13,65,"A0020101"
1989-09-25,109,"A0020101"
1989-11-03,7,"A0020101"
1990-10-04,96,"A0020101"
1991-06-27,121,"A0020101"
1991-12-22,6,"A0020101"
1992-08-02,51,"A0020101"
1992-12-29,8,"A0020101"
1993-05-21,54,"A0020101"
1993-10-19,14,"A0020101"
1993-11-30,12,"A0020101"
1994-07-03,109,"A0020101"
1995-10-12,117,"A0020101"
1997-08-15,35,"A0020101"
1997-12-24,8,"A0020101"
1998-10-30,33,"A0020101"
1999-07-10,71,"A0020101"
2000-09-12,171,"A0020101"
2001-05-04,37,"A0020101"
2001-06-27,16,"A0020101"
2002-03-11,16,"A0020101"
2002-04-17,28,"A0020101"
2003-08-18,55,"A0020101"
2003-09-17,15,"A0020101"
2003-10-26,17,"A0020101"
2003-12-12,9,"A0020101"
2004-04-28,83,"A0020101"
2004-07-14,36,"A0020101"
2005-04-24,38,"A0020101"
2005-09-23,20,"A0020101"
2006-09-08,40,"A0020101"
2007-06-05,69,"A0020101"
2007-09-03,49,"A0020101"
2008-04-24,42,"A0020101"
2008-07-23,43,"A0020101"
2009-07-11,35,"A0020101"
2012-08-31,31,"A0020101"
2013-04-25,33,"A0020101"
2014-01-17,25,"A0020101"
2014-05-27,43,"A0020101"
1973-09-25,27,"A0030501"
1974-09-20,95,"A0030501"
1975-01-26,13,"A0030501"
1975-07-22,76,"A0030501"
1976-08-28,42,"A0030501"
1977-09-13,80,"A0030501"
1978-04-11,37,"A0030501"
1979-01-11,34,"A0030501"
1979-02-09,20,"A0030501"
1979-08-14,47,"A0030501"
1980-06-23,53,"A0030501"
1981-11-06,57,"A0030501"
1982-06-21,57,"A0030501"
1983-10-22,74,"A0030501"
1984-07-11,86,"A0030501"
1984-11-09,24,"A0030501"
1985-03-09,19,"A0030501"
